Location,Place,Latitude,Longitude,Caste,Address,Colors
அலமாதி,Madhavaram,13.2046265,80.1174039,Adi Dravidar,Madhavaram_13.2046265_80.1174039_Adi Dravidar,400
ஆட்டந்தாங்கல்,Madhavaram,13.2182993,80.1791368,Vanniar,Madhavaram_13.2182993_80.1791368_Vanniar,6400
ஆட்டந்தாங்கல் நல்லூர்,Madhavaram,13.2037471,80.1695326,Nadar,Madhavaram_13.2037471_80.1695326_Nadar,3400
ஆத்தூர்,Madhavaram,13.1887,80.1512,Adi Dravidar,Madhavaram_13.1887_80.1512_Adi Dravidar,400
ஒரக்காடு,Madhavaram,13.2441069,8015223903,Adi Dravidar,Madhavaram_13.1714_80.2455_Adi Dravidar,400
காரனோடை,Madhavaram,13.2468315,80.18654,Adi Dravidar,Madhavaram_13.2468315_80.18654_Adi Dravidar,400
சோத்துபெரும்பேடு,Madhavaram,13.2506321,80.1609104,Adi Dravidar,Madhavaram_13.2506321_80.1609104_Adi Dravidar,400
சோழவரம்,Madhavaram,13.213,80.1903,Adi Dravidar,Madhavaram_13.213_80.1903_Adi Dravidar,400
நல்லூர்,Madhavaram,13.1602,80.1622,Vanniar,Madhavaram_13.1602_80.1622_Vanniar,6400
நெற்குன்றம்,Madhavaram,13.2359597,80.1634585,Adi Dravidar,Madhavaram_13.2359597_80.1634585_Adi Dravidar,400
பம்மதுகுளம்,Madhavaram,13.2117821,80.152239,Vanniar,Madhavaram_13.1714_80.2455_Vanniar,6400
பழைய எருமைவெட்டி பாளையம்,Madhavaram,13.2527339,80.1847167,Adi Dravidar,Madhavaram_13.2527339_80.1847167_Adi Dravidar,400
பாடியநல்லூர்,Madhavaram,13.1657007,80.1456496,Vanniar,Madhavaram_13.1657007_80.1456496_Vanniar,6400
புதிய எருமைவெட்டிப்பாளையம்,Madhavaram,13.2489791,80.1390781,Naidu,Madhavaram_13.2489791_80.1390781_Naidu,3900
பூதூர்,Madhavaram,13.1989003,80.1764778,Adi Dravidar,Madhavaram_13.1989003_80.1764778_Adi Dravidar,400
பெருங்காவூர்,Madhavaram,13.2328,80.1121,Adi Dravidar,Madhavaram_13.2328_80.1121_Adi Dravidar,400
பொத்தூர்,Madhavaram,13.1584711,80.2036881,Adi Dravidar,Madhavaram_13.1584711_80.2036881_Adi Dravidar,400
புழல்,Madhavaram,13.2372,80.2042,Adi Dravidar,Madhavaram_13.2372_80.2042_Adi Dravidar,400
ஆங்காடு,Madhavaram,13.2081818,80.2126109,Adi Dravidar,Madhavaram_13.2081818_80.2126109_Adi Dravidar,400
கும்மனூர்,Madhavaram,13.1602,80.1512,Adi Dravidar,Madhavaram_13.1602_80.1512_Adi Dravidar,400
அலமாதி,Madhavaram,13.2046265,80.1174039,Mudaliar,Madhavaram_13.2046265_80.1174039_Mudaliar,2400
